pl_name,pl_orbper,pl_rade,st_teff,pl_orbsmax,pl_insol,pl_eqt,log_orbper,log_insol,radius_earth_ratio,hz_proximity,habitable
AU Mic b,8.46308,3.95677019,3678.0,0.0649,21.2,600.0,2.247397911469015,3.100092288878234,3.95677019,0.0,0
AU Mic c,18.85969,2.52202066,3678.0,0.1108,7.3,459.0,2.988692049230347,2.1162555148025524,2.52202066,0.0,0
CoRoT-32 b,6.71837,6.38913,5970.0,0.071,132.26,938.0,2.0436032018471457,4.892302107134391,6.38913,0.0,0
EPIC 201595106 b,0.87724,1.565,5679.0,0.0177,2852.0,2038.0,0.6298026130426639,7.9561263512135,1.565,0.0,0
EPIC 220674823 b,0.571336,1.82,5496.0,0.01312,4293.0,2063.0,0.45192621291693946,8.364973978438726,1.82,0.0,0
EPIC 220674823 b,0.571292,1.725,5532.0,0.01326,4670.0,2300.0,0.45189821087533427,8.449128460502108,1.725,0.0,0
EPIC 220674823 b,0.5713127,1.676,5578.0,0.01314,4656.0,2299.0,0.4519113846607616,8.446126742982377,1.676,0.0,0
EPIC 220674823 c,13.3387,2.77,5496.0,0.1071,64.0,722.0,2.66296217555295,4.174387269895637,2.77,0.0,0
EPIC 220674823 c,13.33989,2.84,5578.0,0.1073,70.0,804.0,2.6630451642912862,4.2626798770413155,2.84,0.0,0
EPIC 220674823 c,13.3397,2.836,5532.0,0.1083,70.0,805.0,2.6630319144505457,4.2626798770413155,2.836,0.0,0
EPIC 229004835 b,16.141132,2.332,5868.0,0.1237,69.7,804.0,2.8414809553295255,4.258445572902527,2.332,0.0,0
EPIC 246851721 b,6.180235,11.780659,6202.0,0.07229,642.0,1401.0,1.9713321123295384,6.466144724237619,11.780659,0.0,0
EPIC 248847494 b,3650.0,12.44199,4898.0,4.5,0.19,183.0,8.202756381655638,0.173953307123438,12.44199,0.0,0
EPIC 249893012 b,3.5951,1.95,5430.0,0.047,1037.0,1616.0,1.524990518356481,6.945051063725834,1.95,0.0,0
EPIC 249893012 c,15.624,3.67,5430.0,0.13,160.0,990.0,2.8108474343568717,5.081404364984463,3.67,0.0,0
EPIC 249893012 d,35.747,3.94,5430.0,0.22,53.0,752.0,3.6040565896736583,3.9889840465642745,3.94,0.0,0
G 9-40 b,5.7459982,1.9,3395.0,0.0418,6.27,440.6,1.9089494698146379,1.9837562915454279,1.9,0.0,0
G 9-40 b,5.746007,2.025,3348.0,0.0385,7.2,456.0,1.908950774290862,2.1041341542702074,2.025,0.0,0
GJ 1132 b,1.62892911,1.19151465,3229.0,0.0157,19.3,583.8,0.9665765807588593,3.0106208860477417,1.19151465,0.0,0
GJ 1214 b,1.58040433,2.742,3250.0,0.0149,21.0,596.0,0.9479461037089549,3.091042453358316,2.742,0.0,0
GJ 1214 b,1.580404531,2.733,3101.0,0.01505,17.2,567.0,0.9479461816037211,2.9014215940827497,2.733,0.0,0
GJ 3090 b,2.85310198,2.18,3707.0,0.0316,45.4,723.0,1.3488785329812736,3.8372994592322094,2.18,0.0,0
GJ 3473 b,1.1980035,1.264,3347.0,0.01589,59.4,773.0,0.7875494483368497,4.100989104940769,1.264,0.0,0
GJ 357 b,3.93072,1.217,3505.0,0.035,12.6,525.0,1.5954850220158672,2.6100697927420065,1.217,0.0,0
GJ 367 b,0.3219225,0.699,3522.0,0.00709,579.0,1365.0,0.27908711641304856,6.363028103540465,0.699,0.0,0
GJ 3929 b,2.616235,1.09,3384.0,0.0252,17.3,568.0,1.2854334293562937,2.9069010598473755,1.09,0.0,0
GJ 3929 b,2.6162745,1.15,3369.0,0.02569,17.5,568.8,1.285444352259333,2.917770732084279,1.15,0.0,0
GJ 486 b,1.46712127,1.289,3317.0,0.01714,39.2,696.3,0.9030519932097534,3.6938669956249757,1.289,0.0,0
GJ 486 b,1.4671205,1.343,3291.0,0.01713,41.3,706.0,0.9030516811050631,3.744787086052232,1.343,0.0,0
GJ 486 b,1.467119,1.305,3340.0,0.01734,40.3,701.0,0.9030510731086332,3.720862499966987,1.305,0.0,0
GJ 806 b,0.9263237,1.331,3600.0,0.01406,130.0,940.0,0.6556133677898253,4.875197323201151,1.331,0.0,0
GJ 9827 b,1.208966,1.58,4219.0,0.0206,256.0,1114.0,0.7925245327396281,5.54907608489522,1.58,0.0,0
GJ 9827 b,1.2089819,1.577,4305.0,0.0188,318.0,1175.0,0.7925317306515818,5.765191102784844,1.577,0.0,0
GJ 9827 b,1.2089802,1.62,4269.0,0.01888,315.0,1172.0,0.7925309610659849,5.755742213586912,1.62,0.0,0
GJ 9827 c,3.648096,1.241,4305.0,0.03925,73.0,813.0,1.5364576733810686,4.30406509320417,1.241,0.0,0
GJ 9827 c,3.64823,1.24,4219.0,0.0429,59.0,771.0,1.536486501974216,4.0943445622221,1.24,0.0,0
GJ 9827 c,3.648083,1.269,4269.0,0.03942,72.0,811.0,1.5364548765330304,4.290459441148391,1.269,0.0,0
GJ 9827 d,6.20142,2.04,4219.0,0.0611,29.0,646.0,1.9742782287984861,3.4011973816621555,2.04,0.0,0
GJ 9827 d,6.20147,2.022,4305.0,0.0559,36.0,681.0,1.9742851718494987,3.6109179126442243,2.022,0.0,0
GJ 9827 d,6.201467,2.07,4269.0,0.05615,35.6,680.0,1.9742847552677973,3.6000482404073204,2.07,0.0,0
GJ 9827 d,6.20183,1.98,4236.0,0.053,34.9,675.0,1.974335160393801,3.580737295494233,1.98,0.0,0
GPX-1 b,1.744579,16.47720163,7000.0,0.0338,4650.0,2300.0,1.0096276934359434,8.444837529224097,16.47720163,0.0,0
Gliese 12 b,12.761408,0.958,3296.0,0.0668,1.62,314.6,2.621868152851688,0.9631743177730056,0.958,0.3294117647058823,1
Gliese 12 b,12.76142,0.9,3253.0,0.067,1.6,315.0,2.6218690248551026,0.9555114450274363,0.9,0.3529411764705882,1
HAT-P-11 b,4.887803076,4.82,4778.0,0.053,96.67,800.0,1.7728829358944533,4.581594449459386,4.82,0.0,0
HAT-P-11 b,4.887802706,4.84,4777.0,0.053,97.1,801.0,1.772882873052676,4.585987366571318,4.84,0.0,0
HAT-P-11 b,4.887802706,4.84,4777.0,0.053,97.1,801.0,1.772882873052676,4.585987366571318,4.84,0.0,0
HAT-P-11 b,4.887802706,4.84,4777.0,0.053,97.1,801.0,1.772882873052676,4.585987366571318,4.84,0.0,0
HAT-P-19 b,4.00878322,11.29865255,4962.0,0.04599,154.0,981.2,1.6111930153395346,5.043425116919247,11.29865255,0.0,0
HAT-P-25 b,3.65281514,12.722215,5519.0,0.0466,325.0,1182.0,1.5374724428663225,5.786897381366708,12.722215,0.0,0
HAT-P-29 b,5.72339,11.926376,6115.0,0.0665,433.0,1271.0,1.9055924916214413,6.073044534100405,11.926376,0.0,0
HAT-P-32 b,2.1500082,22.19382,6001.0,0.03397,1841.0,1835.7,1.1474050560087565,7.518607216815252,22.19382,0.0,0
HAT-P-36 b,1.3273466,15.210613,5560.0,0.02402,1821.0,1820.2,0.8447288203708737,7.507690077819904,15.210613,0.0,0
